symbol,date,open,high,low,close,volume,adj_close
IF,2015-12-31,5.50,5.64,5.47,5.52,14900,5.52
IF,2015-12-30,5.65,5.65,5.56,5.57,16700,5.57
AIII,2015-12-31,1.23,1.26,1.23,1.26,600,1.26
AIII,2015-12-30,1.28,1.31,1.23,1.28,1000,1.28
XXII,2015-12-31,1.39,1.42,1.35,1.40,217600,1.40
XXII,2015-12-30,1.33,1.40,1.33,1.37,163800,1.37
CH,2015-12-31,5.49,5.59,5.49,5.58,80700,5.58
CH,2015-12-30,5.49,5.58,5.49,5.55,61800,5.55
ATNM,2015-12-31,3.12,3.279,2.95,3.23,1043500,3.23
ATNM,2015-12-30,3.35,3.40,2.98,3.14,2996000,3.14
FCO,2015-12-31,7.73,7.76,7.67,7.69,16700,7.69
FCO,2015-12-30,7.73,7.76,7.65,7.73,70600,7.73
ISL,2015-12-31,17.27,17.360001,17.26,17.26,2100,17.26
ISL,2015-12-30,17.360001,17.360001,17.27,17.27,1400,17.27
ACU,2015-12-31,17.50,17.50,17.00,17.40,3700,17.40
ACU,2015-12-30,16.85,17.15,16.68,17.059999,11800,17.059999
ADK,2015-12-31,2.28,2.51,2.28,2.49,109800,2.49
ADK,2015-12-30,2.16,2.28,2.16,2.27,105600,2.27
AE,2015-12-31,36.43,39.50,35.360001,38.400002,21400,38.400002
AE,2015-12-30,35.50,36.73,35.349998,36.299999,12900,36.299999
AIRI,2015-12-31,7.92,8.27,7.80,8.15,3700,8.15
AIRI,2015-12-30,7.82,7.86,7.82,7.85,6500,7.85
ACY,2015-12-31,12.44,12.70,12.14,12.70,5200,12.70
ACY,2015-12-30,12.01,12.55,11.93,12.55,3000,12.55
WGA,2015-12-31,0.50,0.50,0.48,0.49,46300,0.49
WGA,2015-12-30,0.50,0.52,0.47,0.50,191100,0.50
AAU,2015-12-31,0.66,0.69,0.63,0.68,141100,0.68
AAU,2015-12-30,0.70,0.73,0.66,0.67,231800,0.67
APT,2015-12-31,1.66,1.76,1.66,1.75,83000,1.75
APT,2015-12-30,1.66,1.70,1.66,1.69,77400,1.69
AXU,2015-12-31,0.35,0.36,0.33,0.34,263600,0.34
AXU,2015-12-30,0.38,0.38,0.35,0.35,208100,0.35
DIT,2015-12-31,79.150002,82.099998,79.010002,80.349998,11900,80.349998
DIT,2015-12-30,79.669998,79.75,78.870003,79.50,6400,79.50
AAMC,2015-12-31,17.26,17.41,16.799999,17.16,30700,17.16
AAMC,2015-12-30,19.33,19.610001,17.42,17.549999,58500,17.549999
ADGE,2015-12-31,0.31,0.33,0.29,0.33,58900,0.33
ADGE,2015-12-30,0.32,0.33,0.31,0.32,22300,0.32
AFCO,2015-12-31,7.02,7.06,6.90,7.04,97900,7.04
AFCO,2015-12-30,7.01,7.09,6.98,7.02,119000,7.02
ALN,2015-12-31,1.17,1.23,1.11,1.22,125100,1.22
ALN,2015-12-30,1.12,1.13,1.03,1.11,7400,1.11
AMS,2015-12-31,1.73,1.85,1.69,1.84,8400,1.84
AMS,2015-12-30,1.68,1.73,1.68,1.73,2200,1.73
AMPE,2015-12-31,3.48,3.53,3.38,3.50,95900,3.50
AMPE,2015-12-30,3.53,3.55,3.40,3.48,91000,3.48
AXN,2015-12-31,0.82,0.82,0.62,0.67,779600,0.67
AXN,2015-12-30,0.86,0.87,0.80,0.81,214800,0.81
AMCO,2015-12-31,0.43,0.43,0.38,0.40,31000,0.40
AMCO,2015-12-30,0.45,0.45,0.39,0.41,111200,0.41
AKG,2015-12-31,1.45,1.48,1.45,1.46,111500,1.46
AKG,2015-12-30,1.50,1.50,1.45,1.45,106500,1.45
AINC,2015-12-31,54.50,54.50,52.099998,53.25,4700,53.25
AINC,2015-12-30,54.040001,54.071999,54.00,54.009998,1100,54.009998
AST,2015-12-31,4.03,4.09,3.87,3.93,104400,3.93
AST,2015-12-30,4.18,4.25,4.10,4.10,62800,4.10
AWX,2015-12-31,1.85,1.90,1.85,1.89,2900,1.89
AWX,2015-12-30,1.85,1.88,1.85,1.88,600,1.88
BTG,2015-12-31,1.01,1.02,1.00,1.02,916400,1.02
BTG,2015-12-30,1.00,1.02,0.99,1.01,947500,1.01
HRT,2015-12-31,5.39,5.49,5.39,5.48,1800,5.48
HRT,2015-12-30,5.49,5.49,5.49,5.49,000,5.49
ASM,2015-12-31,0.90,0.91,0.89,0.90,44400,0.90
ASM,2015-12-30,0.91,0.91,0.89,0.89,80500,0.89
BTN,2015-12-31,4.57,4.66,4.52,4.61,30100,4.61
BTN,2015-12-30,4.45,4.57,4.43,4.52,10600,4.52
BKJ,2015-12-31,11.37,11.37,11.12,11.13,9800,11.13
BKJ,2015-12-30,11.15,11.15,11.15,11.15,600,11.15
BCV,2015-12-31,18.200001,18.299999,18.16,18.200001,7400,18.200001
BCV,2015-12-30,18.280001,18.33,18.15,18.200001,8800,18.200001
BAA,2015-12-31,0.20,0.21,0.19,0.20,1098500,0.20
BAA,2015-12-30,0.18,0.19,0.18,0.19,349100,0.19
BRN,2015-12-31,1.88,1.97,1.88,1.88,6600,1.88
BRN,2015-12-30,1.89,1.94,1.89,1.94,2000,1.94
BGSF,2015-12-31,14.38,15.00,14.38,14.95,11700,14.95
BGSF,2015-12-30,14.24,14.40,14.24,14.40,3200,14.40
BHB,2015-12-31,34.790001,35.049999,34.41,34.419998,7600,34.419998
BHB,2015-12-30,34.869999,35.00,34.549999,34.639999,8100,34.639999
BPMX,2015-12-31,1.46,1.52,1.459,1.52,59100,1.52
BPMX,2015-12-30,1.59,1.59,1.46,1.50,69800,1.50
BTX,2015-12-31,4.38,4.41,4.03,4.10,306800,4.10
BTX,2015-12-30,4.28,4.51,4.19,4.38,416000,4.38
BGI,2015-12-31,0.38,0.38,0.30,0.37,182300,0.37
BGI,2015-12-30,0.42,0.42,0.36,0.42,11700,0.42
BZM,2015-12-31,14.86,14.95,14.67,14.95,8300,14.95
BZM,2015-12-30,14.65,14.81,14.56,14.81,5900,14.81
MHE,2015-12-31,13.17,13.39,13.17,13.38,11800,13.38
MHE,2015-12-30,13.24,13.24,12.84,13.19,19200,13.19
BLE,2015-12-31,15.34,15.36,15.29,15.31,25900,15.31
BLE,2015-12-30,15.25,15.29,15.23,15.29,61600,15.29
BFY,2015-12-31,14.98,15.03,14.95,14.98,7100,14.98
BFY,2015-12-30,14.85,15.02,14.85,14.94,6600,14.94
BLJ,2015-12-31,14.51,14.94,14.51,14.74,9000,14.74
BLJ,2015-12-30,14.53,14.53,14.27,14.52,5200,14.52
BHV,2015-12-31,19.530001,19.75,19.040001,19.75,3400,19.75
BHV,2015-12-30,20.01,20.040001,19.60,20.00,1200,20.00
BRG,2015-12-31,11.91,12.17,11.79,11.85,153300,11.85
BRG,2015-12-30,12.04,12.04,11.85,11.91,79900,11.91
BDR,2015-12-31,0.48,0.48,0.39,0.40,15200,0.40
BDR,2015-12-30,0.42,0.48,0.42,0.42,5000,0.42
BZC,2015-12-31,19.629999,19.799999,19.57,19.799999,48000,19.799999
BZC,2015-12-30,19.620001,19.639999,19.58,19.60,17300,19.60
BVX,2015-12-31,2.00,2.12,1.87,2.10,237800,2.10
BVX,2015-12-30,2.17,2.17,1.92,1.95,205600,1.95
BTI,2015-12-31,111.709999,112.370003,110.330002,110.449997,87100,110.449997
BTI,2015-12-30,112.260002,112.709999,111.970001,112.00,143700,112.00
CANF,2015-12-31,2.91,2.99,2.91,2.92,93500,2.92
CANF,2015-12-30,2.98,3.02,2.92,2.92,152700,2.92
ROX,2015-12-31,1.24,1.26,1.23,1.23,104500,1.23
ROX,2015-12-30,1.25,1.26,1.24,1.25,632900,1.25
CAW,2015-12-31,3.13,3.13,3.00,3.12,6500,3.12
CAW,2015-12-30,3.07,3.14,2.99,3.14,3400,3.14
CVM,2015-12-31,0.37,0.39,0.37,0.37,1040400,0.37
CVM,2015-12-30,0.37,0.38,0.36,0.37,875600,0.37
CEF,2015-12-31,10.00,10.13,9.96,9.99,1592900,9.99
CEF,2015-12-30,9.94,10.03,9.94,9.99,842500,9.99
GTU,2015-12-31,37.830002,38.040001,37.68,37.700001,158400,37.700001
GTU,2015-12-30,37.98,38.07,37.740002,37.830002,50400,37.830002
CET,2015-12-31,19.030001,19.32,18.889999,19.02,113200,19.02
CET,2015-12-30,19.120001,19.120001,18.969999,19.040001,56500,19.040001
LEU,2015-12-31,1.37,1.38,1.28,1.32,38700,1.32
LEU,2015-12-30,1.42,1.45,1.27,1.35,57800,1.35
CCF,2015-12-31,40.950001,41.490002,40.610001,40.73,10700,40.73
CCF,2015-12-30,41.00,41.889999,40.77,40.889999,10900,40.889999
CQH,2015-12-31,16.90,17.49,16.90,17.40,50400,17.40
CQH,2015-12-30,16.84,17.00,16.450001,16.959999,137700,16.959999
CQP,2015-12-31,25.00,26.450001,25.00,26.07,329200,26.07
CQP,2015-12-30,24.43,25.379999,23.84,25.34,663800,25.34
LNG,2015-12-31,36.470001,37.880001,36.400002,37.25,1722400,37.25
LNG,2015-12-30,36.299999,37.400002,36.209999,36.43,2128800,36.43
CVR,2015-12-31,23.120001,23.33,23.030001,23.18,1900,23.18
